Survived,Pclass,Sex,Age,Age_months,SibSp,Parch,Fare,Embarked,age_category,male,female,child,teenager,adult,senior,yes_survived,no_survived
0,1,0,28.0,336.0,1,0,82.1708,1,2,1,0,0,0,1,0,1,0
0,1,0,42.0,504.0,1,0,52.0,0,2,1,0,0,0,1,0,1,0
1,3,0,27.0,324.0,0,0,7.2292,1,2,1,0,0,0,1,0,0,1
0,3,0,21.0,252.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,1,18.0,216.0,2,0,18.0,0,2,0,1,0,0,1,0,1,0
1,3,1,14.0,168.0,1,0,11.2417,1,1,0,1,0,1,0,0,0,1
0,3,1,40.0,480.0,1,0,9.475,0,2,0,1,0,0,1,0,1,0
0,2,1,27.0,324.0,1,0,21.0,0,2,0,1,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.8958,1,2,1,0,0,0,1,0,1,0
1,2,1,3.0,36.0,1,2,41.5792,1,0,0,1,1,0,0,0,0,1
1,3,1,19.0,228.0,0,0,7.8792,2,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,1,0,15.5,2,2,1,0,0,0,1,0,1,0
1,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,2,0,21.6792,1,2,1,0,0,0,1,0,1,0
0,3,1,18.0,216.0,1,0,17.8,0,2,0,1,0,0,1,0,1,0
0,3,0,7.0,84.0,4,1,39.6875,0,0,1,0,1,0,0,0,1,0
0,3,0,21.0,252.0,0,0,7.8,0,2,1,0,0,0,1,0,1,0
1,1,1,49.0,588.0,1,0,76.7292,1,2,0,1,0,0,1,0,0,1
1,2,1,29.0,348.0,1,0,26.0,0,2,0,1,0,0,1,0,0,1
0,1,0,65.0,780.0,0,1,61.9792,1,3,1,0,0,0,0,1,1,0
1,1,0,41.0,492.0,0,0,35.5,0,2,1,0,0,0,1,0,0,1
1,2,1,21.0,252.0,0,0,10.5,0,2,0,1,0,0,1,0,0,1
0,3,0,28.5,342.0,0,0,7.2292,1,2,1,0,0,0,1,0,1,0
1,2,1,5.0,60.0,1,2,27.75,0,0,0,1,1,0,0,0,0,1
0,3,0,11.0,132.0,5,2,46.9,0,0,1,0,1,0,0,0,1,0
0,3,0,22.0,264.0,0,0,7.2292,1,2,1,0,0,0,1,0,1,0
1,1,1,38.0,456.0,0,0,80.0,0,2,0,1,0,0,1,0,0,1
0,1,0,45.0,540.0,1,0,83.475,0,2,1,0,0,0,1,0,1,0
0,3,0,4.0,48.0,3,2,27.9,0,0,1,0,1,0,0,0,1,0
0,1,0,41.0,492.0,0,0,27.7208,1,2,1,0,0,0,1,0,1,0
1,3,0,27.0,324.0,1,1,15.2458,1,2,1,0,0,0,1,0,0,1
1,2,1,29.0,348.0,0,0,10.5,0,2,0,1,0,0,1,0,0,1
0,3,0,19.0,228.0,0,0,8.1583,0,2,1,0,0,0,1,0,1,0
1,3,1,17.0,204.0,4,2,7.925,0,1,0,1,0,1,0,0,0,1
0,3,0,26.0,312.0,2,0,8.6625,0,2,1,0,0,0,1,0,1,0
0,2,0,32.0,384.0,0,0,10.5,0,2,1,0,0,0,1,0,1,0
0,3,1,16.0,192.0,5,2,46.9,0,1,0,1,0,1,0,0,1,0
0,2,0,21.0,252.0,0,0,73.5,0,2,1,0,0,0,1,0,1,0
0,3,0,26.0,312.0,1,0,14.4542,1,2,1,0,0,0,1,0,1,0
1,3,0,32.0,384.0,0,0,56.4958,0,2,1,0,0,0,1,0,0,1
0,3,0,25.0,300.0,0,0,7.65,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
1,2,0,0.83,9.959999999999999,0,2,29.0,0,0,1,0,1,0,0,0,0,1
1,3,1,30.0,360.0,0,0,12.475,0,2,0,1,0,0,1,0,0,1
0,3,0,22.0,264.0,0,0,9.0,0,2,1,0,0,0,1,0,1,0
1,3,0,29.0,348.0,0,0,9.5,0,2,1,0,0,0,1,0,0,1
1,3,1,22.0,264.0,0,0,7.7875,2,2,0,1,0,0,1,0,0,1
0,1,0,28.0,336.0,0,0,47.1,0,2,1,0,0,0,1,0,1,0
1,2,1,17.0,204.0,0,0,10.5,0,1,0,1,0,1,0,0,0,1
1,3,1,33.0,396.0,3,0,15.85,0,2,0,1,0,0,1,0,0,1
0,3,0,16.0,192.0,1,3,34.375,0,1,1,0,0,1,0,0,1,0
0,3,0,27.0,324.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
1,1,1,23.0,276.0,3,2,263.0,0,2,0,1,0,0,1,0,0,1
0,3,0,24.0,288.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,29.0,348.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,20.0,240.0,0,0,7.8542,0,2,1,0,0,0,1,0,1,0
0,1,0,46.0,552.0,1,0,61.175,0,2,1,0,0,0,1,0,1,0
0,3,0,26.0,312.0,1,2,20.575,0,2,1,0,0,0,1,0,1,0
0,3,0,59.0,708.0,0,0,7.25,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,1,0,71.0,852.0,0,0,34.6542,1,3,1,0,0,0,0,1,1,0
1,1,0,23.0,276.0,0,1,63.3583,1,2,1,0,0,0,1,0,0,1
1,2,1,34.0,408.0,0,1,23.0,0,2,0,1,0,0,1,0,0,1
0,2,0,34.0,408.0,1,0,26.0,0,2,1,0,0,0,1,0,1,0
0,3,1,28.0,336.0,0,0,7.8958,0,2,0,1,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
0,1,0,21.0,252.0,0,1,77.2875,0,2,1,0,0,0,1,0,1,0
0,3,0,33.0,396.0,0,0,8.6542,0,2,1,0,0,0,1,0,1,0
0,3,0,37.0,444.0,2,0,7.925,0,2,1,0,0,0,1,0,1,0
0,3,0,28.0,336.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
1,3,1,21.0,252.0,0,0,7.65,0,2,0,1,0,0,1,0,0,1
1,3,0,27.0,324.0,0,0,7.775,0,2,1,0,0,0,1,0,0,1
0,3,0,38.0,456.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
1,3,1,22.0,264.0,1,0,24.15,2,2,0,1,0,0,1,0,0,1
0,1,0,47.0,564.0,0,0,52.0,0,2,1,0,0,0,1,0,1,0
0,3,1,14.5,174.0,1,0,14.4542,1,1,0,1,0,1,0,0,1,0
0,3,0,22.0,264.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,1,20.0,240.0,1,0,9.825,0,2,0,1,0,0,1,0,1,0
0,3,1,17.0,204.0,0,0,14.4583,1,1,0,1,0,1,0,0,1,0
0,3,0,21.0,252.0,0,0,7.925,0,2,1,0,0,0,1,0,1,0
0,3,0,70.5,846.0,0,0,7.75,2,3,1,0,0,0,0,1,1,0
0,2,0,29.0,348.0,1,0,21.0,0,2,1,0,0,0,1,0,1,0
0,1,0,24.0,288.0,0,1,247.5208,1,2,1,0,0,0,1,0,1,0
0,3,1,2.0,24.0,4,2,31.275,0,0,0,1,1,0,0,0,1,0
0,2,0,21.0,252.0,2,0,73.5,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,2,0,32.5,390.0,1,0,30.0708,1,2,1,0,0,0,1,0,1,0
1,2,1,32.5,390.0,0,0,13.0,0,2,0,1,0,0,1,0,0,1
0,1,0,54.0,648.0,0,1,77.2875,0,2,1,0,0,0,1,0,1,0
1,3,0,12.0,144.0,1,0,11.2417,1,1,1,0,0,1,0,0,0,1
0,3,0,27.0,324.0,0,0,7.75,2,2,1,0,0,0,1,0,1,0
1,3,0,24.0,288.0,0,0,7.1417,0,2,1,0,0,0,1,0,0,1
1,3,1,22.0,264.0,1,1,22.3583,1,2,0,1,0,0,1,0,0,1
0,3,0,45.0,540.0,0,0,6.975,0,2,1,0,0,0,1,0,1,0
0,3,0,33.0,396.0,0,0,7.8958,1,2,1,0,0,0,1,0,1,0
0,3,0,20.0,240.0,0,0,7.05,0,2,1,0,0,0,1,0,1,0
0,3,1,47.0,564.0,1,0,14.5,0,2,0,1,0,0,1,0,1,0
1,2,1,29.0,348.0,1,0,26.0,0,2,0,1,0,0,1,0,0,1
0,2,0,25.0,300.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
0,2,0,23.0,276.0,0,0,15.0458,1,2,1,0,0,0,1,0,1,0
1,1,1,19.0,228.0,0,2,26.2833,0,2,0,1,0,0,1,0,0,1
0,1,0,37.0,444.0,1,0,53.1,0,2,1,0,0,0,1,0,1,0
0,3,0,16.0,192.0,0,0,9.2167,0,1,1,0,0,1,0,0,1,0
0,1,0,24.0,288.0,0,0,79.2,1,2,1,0,0,0,1,0,1,0
0,3,1,22.0,264.0,0,2,15.2458,1,2,0,1,0,0,1,0,1,0
1,3,1,22.0,264.0,0,0,7.75,0,2,0,1,0,0,1,0,0,1
1,3,1,24.0,288.0,1,0,15.85,0,2,0,1,0,0,1,0,0,1
0,3,0,19.0,228.0,0,0,6.75,2,2,1,0,0,0,1,0,1,0
0,2,0,18.0,216.0,0,0,11.5,0,2,1,0,0,0,1,0,1,0
0,2,0,19.0,228.0,1,1,36.75,0,2,1,0,0,0,1,0,1,0
1,3,0,27.0,324.0,0,0,7.7958,0,2,1,0,0,0,1,0,0,1
0,3,1,9.0,108.0,2,2,34.375,0,0,0,1,1,0,0,0,1,0
0,2,0,36.5,438.0,0,2,26.0,0,2,1,0,0,0,1,0,1,0
0,2,0,42.0,504.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
0,2,0,51.0,612.0,0,0,12.525,0,2,1,0,0,0,1,0,1,0
1,1,1,22.0,264.0,1,0,66.6,0,2,0,1,0,0,1,0,0,1
0,3,0,55.5,666.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,40.5,486.0,0,2,14.5,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.3125,0,2,1,0,0,0,1,0,1,0
0,1,0,51.0,612.0,0,1,61.3792,1,2,1,0,0,0,1,0,1,0
1,3,1,16.0,192.0,0,0,7.7333,2,1,0,1,0,1,0,0,0,1
0,3,0,30.0,360.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,8.6625,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,8,2,69.55,0,2,1,0,0,0,1,0,1,0
0,3,0,44.0,528.0,0,1,16.1,0,2,1,0,0,0,1,0,1,0
1,2,1,40.0,480.0,0,0,15.75,0,2,0,1,0,0,1,0,0,1
0,3,0,26.0,312.0,0,0,7.775,0,2,1,0,0,0,1,0,1,0
0,3,0,17.0,204.0,0,0,8.6625,0,1,1,0,0,1,0,0,1,0
0,3,0,1.0,12.0,4,1,39.6875,0,0,1,0,1,0,0,0,1,0
1,3,0,9.0,108.0,0,2,20.525,0,0,1,0,1,0,0,0,0,1
1,1,1,35.0,420.0,0,1,55.0,0,2,0,1,0,0,1,0,0,1
0,3,1,45.0,540.0,1,4,27.9,0,2,0,1,0,0,1,0,1,0
0,1,0,41.0,492.0,0,0,25.925,0,2,1,0,0,0,1,0,1,0
0,3,0,28.0,336.0,0,0,56.4958,0,2,1,0,0,0,1,0,1,0
0,1,0,61.0,732.0,0,0,33.5,0,3,1,0,0,0,0,1,1,0
0,3,0,4.0,48.0,4,1,29.125,2,0,1,0,1,0,0,0,1,0
1,3,1,1.0,12.0,1,1,11.1333,0,0,0,1,1,0,0,0,0,1
0,3,0,21.0,252.0,0,0,7.925,0,2,1,0,0,0,1,0,1,0
0,1,0,56.0,672.0,0,0,30.6958,1,2,1,0,0,0,1,0,1,0
0,3,0,18.0,216.0,1,1,7.8542,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,3,1,25.4667,0,2,1,0,0,0,1,0,1,0
0,1,1,50.0,600.0,0,0,28.7125,1,2,0,1,0,0,1,0,1,0
0,2,0,30.0,360.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
0,3,0,36.0,432.0,0,0,0.0,0,2,1,0,0,0,1,0,1,0
0,3,1,22.0,264.0,8,2,69.55,0,2,0,1,0,0,1,0,1,0
0,2,0,31.0,372.0,0,0,15.05,1,2,1,0,0,0,1,0,1,0
0,3,0,9.0,108.0,4,2,31.3875,0,0,1,0,1,0,0,0,1,0
1,2,0,1.0,12.0,2,1,39.0,0,0,1,0,1,0,0,0,0,1
1,3,1,4.0,48.0,0,2,22.025,0,0,0,1,1,0,0,0,0,1
0,1,0,41.0,492.0,0,0,50.0,0,2,1,0,0,0,1,0,1,0
1,3,1,22.0,264.0,1,0,15.5,2,2,0,1,0,0,1,0,0,1
1,1,0,45.0,540.0,0,0,26.55,0,2,1,0,0,0,1,0,0,1
0,3,0,40.0,480.0,1,1,15.5,2,2,1,0,0,0,1,0,1,0
0,3,0,36.0,432.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
1,2,1,32.0,384.0,0,0,13.0,0,2,0,1,0,0,1,0,0,1
0,2,0,19.0,228.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
1,3,1,19.0,228.0,1,0,7.8542,0,2,0,1,0,0,1,0,0,1
1,2,0,3.0,36.0,1,1,26.0,0,0,1,0,1,0,0,0,0,1
1,1,1,44.0,528.0,0,0,27.7208,1,2,0,1,0,0,1,0,0,1
1,1,1,58.0,696.0,0,0,146.5208,1,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,0,0,7.75,2,2,1,0,0,0,1,0,1,0
0,3,0,42.0,504.0,0,1,8.4042,0,2,1,0,0,0,1,0,1,0
1,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,0,1
0,2,1,24.0,288.0,0,0,13.0,0,2,0,1,0,0,1,0,1,0
0,3,0,28.0,336.0,0,0,9.5,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,8,2,69.55,0,2,1,0,0,0,1,0,1,0
0,3,0,34.0,408.0,0,0,6.4958,0,2,1,0,0,0,1,0,1,0
0,3,0,45.5,546.0,0,0,7.225,1,2,1,0,0,0,1,0,1,0
1,3,0,18.0,216.0,0,0,8.05,0,2,1,0,0,0,1,0,0,1
0,3,1,2.0,24.0,0,1,10.4625,0,0,0,1,1,0,0,0,1,0
0,3,0,32.0,384.0,1,0,15.85,0,2,1,0,0,0,1,0,1,0
1,3,0,26.0,312.0,0,0,18.7875,1,2,1,0,0,0,1,0,0,1
1,3,1,16.0,192.0,0,0,7.75,2,1,0,1,0,1,0,0,0,1
1,1,0,40.0,480.0,0,0,31.0,1,2,1,0,0,0,1,0,0,1
0,3,0,24.0,288.0,0,0,7.05,0,2,1,0,0,0,1,0,1,0
1,2,1,35.0,420.0,0,0,21.0,0,2,0,1,0,0,1,0,0,1
0,3,0,22.0,264.0,0,0,7.25,0,2,1,0,0,0,1,0,1,0
0,2,0,30.0,360.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,1,0,7.75,2,2,1,0,0,0,1,0,1,0
1,1,1,31.0,372.0,1,0,113.275,1,2,0,1,0,0,1,0,0,1
1,3,1,27.0,324.0,0,0,7.925,0,2,0,1,0,0,1,0,0,1
0,2,0,42.0,504.0,1,0,27.0,0,2,1,0,0,0,1,0,1,0
1,1,1,32.0,384.0,0,0,76.2917,1,2,0,1,0,0,1,0,0,1
0,2,0,30.0,360.0,0,0,10.5,0,2,1,0,0,0,1,0,1,0
1,3,0,16.0,192.0,0,0,8.05,0,1,1,0,0,1,0,0,0,1
0,2,0,27.0,324.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
0,3,0,51.0,612.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
1,1,0,38.0,456.0,1,0,90.0,0,2,1,0,0,0,1,0,0,1
0,3,0,22.0,264.0,0,0,9.35,0,2,1,0,0,0,1,0,1,0
1,2,0,19.0,228.0,0,0,10.5,0,2,1,0,0,0,1,0,0,1
0,3,0,20.5,246.0,0,0,7.25,0,2,1,0,0,0,1,0,1,0
0,2,0,18.0,216.0,0,0,13.0,0,2,1,0,0,0,1,0,1,0
0,3,1,22.0,264.0,3,1,25.4667,0,2,0,1,0,0,1,0,1,0
1,1,1,35.0,420.0,1,0,83.475,0,2,0,1,0,0,1,0,0,1
0,3,0,29.0,348.0,0,0,7.775,0,2,1,0,0,0,1,0,1,0
0,2,0,59.0,708.0,0,0,13.5,0,2,1,0,0,0,1,0,1,0
1,3,1,5.0,60.0,4,2,31.3875,0,0,0,1,1,0,0,0,0,1
0,2,0,24.0,288.0,0,0,10.5,0,2,1,0,0,0,1,0,1,0
0,3,1,22.0,264.0,0,0,7.55,0,2,0,1,0,0,1,0,1,0
0,2,0,44.0,528.0,1,0,26.0,0,2,1,0,0,0,1,0,1,0
1,2,1,8.0,96.0,0,2,26.25,0,0,0,1,1,0,0,0,0,1
0,2,0,19.0,228.0,0,0,10.5,0,2,1,0,0,0,1,0,1,0
0,2,0,33.0,396.0,0,0,12.275,0,2,1,0,0,0,1,0,1,0
0,3,1,22.0,264.0,1,0,14.4542,1,2,0,1,0,0,1,0,1,0
1,3,1,22.0,264.0,1,0,15.5,2,2,0,1,0,0,1,0,0,1
0,2,0,29.0,348.0,0,0,10.5,0,2,1,0,0,0,1,0,1,0
0,3,0,22.0,264.0,0,0,7.125,0,2,1,0,0,0,1,0,1,0
0,3,0,30.0,360.0,0,0,7.225,1,2,1,0,0,0,1,0,1,0
0,1,0,44.0,528.0,2,0,90.0,2,2,1,0,0,0,1,0,1,0
0,3,1,25.0,300.0,0,0,7.775,0,2,0,1,0,0,1,0,1,0
1,2,1,24.0,288.0,0,2,14.5,0,2,0,1,0,0,1,0,0,1
1,1,0,37.0,444.0,1,1,52.5542,0,2,1,0,0,0,1,0,0,1
0,2,0,54.0,648.0,1,0,26.0,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.25,0,2,1,0,0,0,1,0,1,0
0,3,1,29.0,348.0,1,1,10.4625,0,2,0,1,0,0,1,0,1,0
0,1,0,62.0,744.0,0,0,26.55,0,3,1,0,0,0,0,1,1,0
0,3,0,30.0,360.0,1,0,16.1,0,2,1,0,0,0,1,0,1,0
0,3,1,41.0,492.0,0,2,20.2125,0,2,0,1,0,0,1,0,1,0
1,3,1,29.0,348.0,0,2,15.2458,1,2,0,1,0,0,1,0,0,1
1,1,1,35.0,420.0,0,0,79.2,1,2,0,1,0,0,1,0,0,1
1,1,1,30.0,360.0,0,0,86.5,0,2,0,1,0,0,1,0,0,1
1,1,1,35.0,420.0,0,0,512.3292,1,2,0,1,0,0,1,0,0,1
1,2,1,50.0,600.0,0,1,26.0,0,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,0,0,7.75,2,2,1,0,0,0,1,0,1,0
1,3,0,3.0,36.0,4,2,31.3875,0,0,1,0,1,0,0,0,0,1
0,1,0,52.0,624.0,1,1,79.65,0,2,1,0,0,0,1,0,1,0
0,1,0,40.0,480.0,0,0,0.0,0,2,1,0,0,0,1,0,1,0
0,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,1,0
0,2,0,36.0,432.0,0,0,10.5,0,2,1,0,0,0,1,0,1,0
0,3,0,16.0,192.0,4,1,39.6875,0,1,1,0,0,1,0,0,1,0
1,3,0,25.0,300.0,1,0,7.775,0,2,1,0,0,0,1,0,0,1
1,1,1,58.0,696.0,0,1,153.4625,0,2,0,1,0,0,1,0,0,1
1,1,1,35.0,420.0,0,0,135.6333,0,2,0,1,0,0,1,0,0,1
0,1,0,41.0,492.0,0,0,31.0,0,2,1,0,0,0,1,0,1,0
1,3,0,25.0,300.0,0,0,0.0,0,2,1,0,0,0,1,0,0,1
1,2,1,41.0,492.0,0,1,19.5,0,2,0,1,0,0,1,0,0,1
0,1,0,37.0,444.0,0,1,29.7,1,2,1,0,0,0,1,0,1,0
1,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,0,1
1,1,1,63.0,756.0,1,0,77.9583,0,3,0,1,0,0,0,1,0,1
0,3,1,45.0,540.0,0,0,7.75,0,2,0,1,0,0,1,0,1,0
0,2,0,31.0,372.0,0,0,0.0,0,2,1,0,0,0,1,0,1,0
0,3,0,7.0,84.0,4,1,29.125,2,0,1,0,1,0,0,0,1,0
1,3,1,35.0,420.0,1,1,20.25,0,2,0,1,0,0,1,0,0,1
0,3,0,65.0,780.0,0,0,7.75,2,3,1,0,0,0,0,1,1,0
0,3,0,28.0,336.0,0,0,7.8542,0,2,1,0,0,0,1,0,1,0
0,3,0,16.0,192.0,0,0,9.5,0,1,1,0,0,1,0,0,1,0
1,3,0,19.0,228.0,0,0,8.05,0,2,1,0,0,0,1,0,0,1
0,1,0,41.0,492.0,0,0,26.0,0,2,1,0,0,0,1,0,1,0
0,3,0,33.0,396.0,0,0,8.6625,1,2,1,0,0,0,1,0,1,0
1,3,0,30.0,360.0,0,0,9.5,0,2,1,0,0,0,1,0,0,1
0,3,0,22.0,264.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
1,2,0,42.0,504.0,0,0,13.0,0,2,1,0,0,0,1,0,0,1
1,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,0,1
1,1,1,26.0,312.0,0,0,78.85,0,2,0,1,0,0,1,0,0,1
1,1,1,19.0,228.0,1,0,91.0792,1,2,0,1,0,0,1,0,0,1
0,2,0,36.0,432.0,0,0,12.875,1,2,1,0,0,0,1,0,1,0
0,3,1,24.0,288.0,0,0,8.85,0,2,0,1,0,0,1,0,1,0
0,3,0,24.0,288.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
0,1,0,41.0,492.0,0,0,27.7208,1,2,1,0,0,0,1,0,1,0
0,3,0,23.5,282.0,0,0,7.2292,1,2,1,0,0,0,1,0,1,0
0,1,1,2.0,24.0,1,2,151.55,0,0,0,1,1,0,0,0,1,0
1,1,0,41.0,492.0,0,0,30.5,0,2,1,0,0,0,1,0,0,1
1,1,1,50.0,600.0,0,1,247.5208,1,2,0,1,0,0,1,0,0,1
1,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,0,1
1,3,0,27.0,324.0,2,0,23.25,2,2,1,0,0,0,1,0,0,1
0,3,0,19.0,228.0,0,0,0.0,0,2,1,0,0,0,1,0,1,0
1,2,1,29.0,348.0,0,0,12.35,2,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
1,1,0,0.92,11.040000000000001,1,2,151.55,0,0,1,0,1,0,0,0,0,1
1,1,1,35.0,420.0,0,0,110.8833,1,2,0,1,0,0,1,0,0,1
1,1,1,17.0,204.0,1,0,108.9,1,1,0,1,0,1,0,0,0,1
0,2,0,30.0,360.0,1,0,24.0,1,2,1,0,0,0,1,0,1,0
1,1,1,30.0,360.0,0,0,56.9292,1,2,0,1,0,0,1,0,0,1
1,1,1,24.0,288.0,0,0,83.1583,1,2,0,1,0,0,1,0,0,1
1,1,1,18.0,216.0,2,2,262.375,1,2,0,1,0,0,1,0,0,1
0,2,1,26.0,312.0,1,1,26.0,0,2,0,1,0,0,1,0,1,0
0,3,0,28.0,336.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
0,2,0,43.0,516.0,1,1,26.25,0,2,1,0,0,0,1,0,1,0
1,3,1,26.0,312.0,0,0,7.8542,0,2,0,1,0,0,1,0,0,1
1,2,1,24.0,288.0,1,0,26.0,0,2,0,1,0,0,1,0,0,1
0,2,0,54.0,648.0,0,0,14.0,0,2,1,0,0,0,1,0,1,0
1,1,1,31.0,372.0,0,2,164.8667,0,2,0,1,0,0,1,0,0,1
1,1,1,40.0,480.0,1,1,134.5,1,2,0,1,0,0,1,0,0,1
0,3,0,22.0,264.0,0,0,7.25,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
1,2,1,30.0,360.0,0,0,12.35,2,2,0,1,0,0,1,0,0,1
1,2,1,22.0,264.0,1,1,29.0,0,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,8,2,69.55,0,2,1,0,0,0,1,0,1,0
1,1,1,36.0,432.0,0,0,135.6333,1,2,0,1,0,0,1,0,0,1
0,3,0,61.0,732.0,0,0,6.2375,0,3,1,0,0,0,0,1,1,0
